team,season,total_GKs,short_GKs,long_GKs,GKs_distnce_std,avg_GK_dist,all_scsfl_GKs,shrt_scsfl_GKs,lng_scsfl_GKs,shortGK_avg_xkick_lft,shortGK_avg_ykick_lft,shortGK_avg_xkick_cntr,shortGK_avg_ykick_cntr,shortGK_avg_xkick_rght,shortGK_avg_ykick_rght,longGK_avg_xkick_lft,longGK_avg_ykick_lft,longGK_avg_xkick_cntr,longGK_avg_ykick_cntr,longGK_avg_xkick_rght,longGK_avg_ykick_rght,ttl_avg_chain_speed,ttl_avg_num_passes,scsfl_prgpass_pcnt,scsfl_prgpass_avg_dist,ttl_prgpass_pcnt,ttl_prgpass_avg_dist,short_avg_num_passes,shrt_all_prgpass_pcnt,shrt_all_prgpass_avg_dist,shrt_scsfl_prgpass_pcnt,shrt_scsfl_prgpass_avg_dist,long_avg_num_passes,long_all_prgpass_pcnt,long_all_prgpass_avg_dist,long_scsfl_prgpass_pcnt,long_scsfl_prgpass_avg_dist,short_end_shot,short_end_goal,short_avg_xg,long_end_shot,long_end_goal,long_avg_xg,short_avg_x_prog,fllw_shrt_x_rtrn,fllw_shrt_shots_rtrn,fllw_shrt_goals_rtrn,fllw_shrt_avg_xg_rtrn,long_avg_x_prog,fllw_long_x_rtrn,fllw_long_shots_rtrn,fllw_long_goals_rtrn,fllw_long_avg_xg_rtrn
Aston Villa,2020/21,250,77,173,20.138,40.04,146,76,70,13.52,27.73,,,12.15,46.13,50.94,16.52,,,53.25,57.06,6.2022,3.804,16.83,39.65,31.7,9.49,4.766,0.1362,35.44,0.0484,32.85,2.584,46.53,41.01,32.02,40.96,4,2,0.2612,4,0,0.1053,64.63,45.666,16,0,0.073,62.07,42.174,21,1,0.1005
Manchester City WFC,2020/21,111,91,20,18.407,17.98,104,91,13,11.64,33.84,,,9.74,38.71,44.2,33.04,,,57.08,56.11,3.5488,7.036,7.94,28.48,13.88,2.26,7.022,0.1236,28.44,0.0704,25.18,4.8,23.96,40.41,14.47,40.17,10,4,0.1562,0,0,,74.23,47.698,12,1,0.1337,81.17,53.921,4,1,0.2253
Arsenal WFC,2020/21,150,96,54,17.785,24.32,125,95,30,12.85,35.81,,,12.4,41.07,47.3,28.72,,,42.64,37.52,3.5054,5.6933,11.31,30.72,20.69,6.18,6.292,0.1573,31.22,0.0795,28.41,3.315,37.43,35.74,24.8,33.7,8,1,0.1308,5,2,0.3188,65.1,48.208,12,0,0.1269,64.71,45.473,8,0,0.0733
Reading WFC,2020/21,199,128,71,22.046,26.63,158,128,30,11.58,34.26,,,10.96,42.18,53.43,27.86,,,55.21,41.93,4.314,5.0151,13.08,32.55,23.98,8.56,5.391,0.1768,34.27,0.0961,29.03,3.028,44.19,40.83,28.57,37.85,12,1,0.1778,1,0,0.0147,72.97,38.231,22,4,0.1551,69.84,38.025,15,3,0.1563
Tottenham Hotspur Women,2020/21,209,115,94,21.638,30.32,158,115,43,13.11,30.22,,,12.15,43.29,52.86,30.86,,,51.06,47.36,4.3322,4.5742,13.5,33.19,24.63,8.44,5.0,0.1635,33.17,0.0992,29.15,3.17,40.6,41.24,23.03,37.81,6,0,0.1246,3,0,0.0544,62.96,42.155,22,2,0.1321,69.48,49.501,14,1,0.1441
West Ham United LFC,2020/21,188,52,136,21.818,43.26,118,50,68,12.02,37.88,,,12.37,39.22,53.41,23.84,,,57.82,50.52,7.1645,4.0266,20.71,39.67,33.33,8.88,5.25,0.1648,34.0,0.0616,32.49,2.779,45.5,42.2,35.05,40.91,0,0,,3,0,0.1645,61.59,36.214,8,2,0.3183,67.62,42.924,11,1,0.1129
Brighton & Hove Albion WFC,2020/21,220,96,124,21.526,33.45,161,95,66,11.42,35.19,,,9.4,42.03,52.16,22.59,,,50.03,50.57,5.7179,4.35,19.55,34.47,30.17,12.16,4.448,0.1663,33.28,0.0961,29.56,3.347,44.1,37.5,32.8,36.39,5,0,0.0882,6,0,0.0433,65.27,48.711,19,3,0.0844,71.17,44.029,14,1,0.0927
Birmingham City WFC,2020/21,267,68,199,26.656,51.5,128,68,60,10.38,39.17,,,10.14,42.96,65.37,27.28,,,65.91,53.97,7.0365,3.0225,20.44,45.02,41.58,10.38,4.368,0.1886,37.29,0.0826,35.02,2.06,58.05,50.94,36.36,48.0,1,0,0.0429,2,0,0.2324,65.93,41.988,8,0,0.0405,72.35,42.274,35,3,0.0972
Bristol City WFC,2020/21,266,58,208,20.771,48.68,121,58,63,13.1,30.87,,,14.45,41.55,57.65,21.23,,,59.39,50.94,7.4975,3.2256,21.59,38.8,42.98,9.68,4.5,0.1877,37.7,0.0711,35.33,2.202,56.77,42.73,36.46,39.49,1,0,0.0153,5,1,0.0623,66.48,45.647,12,1,0.0802,69.22,43.74,38,8,0.1265
Everton LFC,2020/21,175,126,49,22.733,23.85,140,125,15,10.0,33.67,,,11.52,42.68,58.16,29.97,,,57.2,59.11,3.8866,5.68,10.74,32.76,20.96,4.82,5.921,0.1662,34.68,0.0918,31.4,3.571,39.43,41.55,20.0,36.44,7,2,0.2001,2,0,0.0243,70.5,46.154,15,5,0.1667,74.28,44.267,6,1,0.1144
Manchester United,2020/21,144,78,66,23.443,30.73,110,77,33,10.27,40.11,,,12.41,46.27,53.28,23.28,,,54.64,43.54,4.9097,5.0208,11.58,33.49,21.37,5.94,6.244,0.1191,33.25,0.0466,27.47,2.545,48.81,39.88,41.94,36.42,8,1,0.0587,3,0,0.1374,69.28,47.047,12,0,0.0725,71.71,45.774,8,1,0.1143
Chelsea FCW,2020/21,121,63,58,23.698,31.77,102,63,39,14.85,34.37,,,12.62,43.13,52.53,29.05,,,50.78,46.4,4.4197,6.5041,12.76,30.94,22.91,5.09,7.19,0.1766,28.78,0.0961,26.68,4.759,31.52,36.86,18.72,35.09,2,0,0.1155,4,1,0.224,71.8,47.684,6,0,0.1222,80.05,48.864,9,2,0.058
