Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Arsenal WFC,20,18,0,2,70,13,57,54
2,Manchester City WFC,20,14,5,1,53,17,36,47
3,Chelsea FCW,20,12,6,2,46,14,32,42
4,Birmingham City WFC,20,13,1,6,29,17,12,40
5,Reading WFC,20,8,3,9,33,30,3,27
6,Bristol City WFC,20,7,4,9,17,34,−17,25
7,West Ham United LFC,20,7,2,11,25,37,−12,23
8,Liverpool WFC,20,7,1,12,21,38,−17,22
9,Brighton & Hove Albion WFC,20,4,4,12,16,38,−22,16
10,Everton LFC,20,3,3,14,15,38,−23,12
11,Yeovil Town LFC,20,2,1,17,11,60,−49,−3
