Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Chelsea FCW,15,12,3,0,47,11,36,39
2,Manchester City WFC,16,13,1,2,39,9,30,40
3,Arsenal WFC,15,12,0,3,40,13,27,36
4,Manchester United,14,7,2,5,24,12,12,23
5,Reading WFC,14,6,3,5,21,24,−3,21
6,Everton LFC,14,6,1,7,21,21,0,19
7,Tottenham Hotspur Women,15,6,2,7,15,24,−9,20
8,West Ham United LFC,14,5,1,8,19,34,−15,16
9,Brighton & Hove Albion WFC,16,3,4,9,11,30,−19,13
10,Bristol City WFC,14,2,3,9,9,38,−29,9
11,Birmingham City WFC,13,2,1,10,5,23,−18,7
12,Liverpool WFC,14,1,3,10,8,20,−12,6
