Pos,team,Pld,W,D,L,GF,GA,GD,Pts,season,total_GKs,short_GKs,short_goal_pc,long_GKs,long_GK_pc,avg_GK_dist,all_scsfl_GKs,shrt_scsfl_GKs,lng_scsfl_GKs,short_avg_x_prog,fllw_shrt_x_rtrn,short_agg_gains,long_avg_x_prog,fllw_long_x_rtrn,long_agg_gains,GKs_distnce_std,ttl_avg_num_passes,ttl_avg_chain_speed,scsfl_prgpass_pcnt,scsfl_prgpass_avg_dist,ttl_prgpass_pcnt,ttl_prgpass_avg_dist,short_avg_num_passes,long_avg_num_passes,shrt_all_prgpass_pcnt,long_all_prgpass_pcnt,shrt_scsfl_prgpass_pcnt,long_scsfl_prgpass_pcnt,shrt_all_prgpass_avg_dist,long_all_prgpass_avg_dist,shrt_scsfl_prgpass_avg_dist,long_scsfl_prgpass_avg_dist,short_end_shot,short_shot_pc,long_end_shot,long_shot_pc,short_end_goal,short_GK_pc,long_end_goal,long_goal_pc,short_avg_xg,long_avg_xg,fllw_shrt_shots_rtrn,fllw_shrt_shots_pc,fllw_long_shots_rtrn,fllw_long_shots_pc,fllw_shrt_goals_rtrn,fllw_shrt_goals_pc,fllw_long_goals_rtrn,fllw_long_goals_pc,fllw_shrt_avg_xg_rtrn,fllw_long_avg_xg_rtrn,short_gains_map,long_gains_map,short_ntwrk_map,long_ntwrk_map,GK_pizza_plot,name_display
1,Chelsea FCW,22,18,3,1,69,10,59,57,2020/21,121,63,0.0,58,47.93,31.77,102,63,39,71.8,47.684,24.12,80.05,48.864,31.19,23.698,6.5041,4.4197,12.76,30.94,22.91,5.09,7.19,4.759,0.1766,31.52,0.0961,18.72,28.78,36.86,26.68,35.09,2,3.17,4,6.9,0,52.07,1,1.72,0.1155,0.224,6,9.52,9,15.52,0,0.0,2,3.45,0.1222,0.058,Chelsea FCW | 2020/21,Chelsea FCW | 2020/21,Chelsea FCW | 2020/21,Chelsea FCW | 2020/21,Chelsea FCW | 2020/21,Chelsea FCW | 2020/21
2,Manchester City WFC,22,17,4,1,65,13,52,55,2020/21,111,91,4.4,20,18.02,17.98,104,91,13,74.23,47.698,26.53,81.17,53.921,27.25,18.407,7.036,3.5488,7.94,28.48,13.88,2.26,7.022,4.8,0.1236,23.96,0.0704,14.47,28.44,40.41,25.18,40.17,10,10.99,0,0.0,4,81.98,0,0.0,0.1562,,12,13.19,4,20.0,1,1.1,1,5.0,0.1337,0.2253,Manchester City WFC | 2020/21,Manchester City WFC | 2020/21,Manchester City WFC | 2020/21,Manchester City WFC | 2020/21,Manchester City WFC | 2020/21,Manchester City WFC | 2020/21
3,Arsenal WFC,22,15,3,4,63,15,48,48,2020/21,150,96,1.04,54,36.0,24.32,125,95,30,65.1,48.208,16.89,64.71,45.473,19.24,17.785,5.6933,3.5054,11.31,30.72,20.69,6.18,6.292,3.315,0.1573,37.43,0.0795,24.8,31.22,35.74,28.41,33.7,8,8.33,5,9.26,1,64.0,2,3.7,0.1308,0.3188,12,12.5,8,14.81,0,0.0,0,0.0,0.1269,0.0733,Arsenal WFC | 2020/21,Arsenal WFC | 2020/21,Arsenal WFC | 2020/21,Arsenal WFC | 2020/21,Arsenal WFC | 2020/21,Arsenal WFC | 2020/21
4,Manchester United,22,15,2,5,44,20,24,47,2020/21,144,78,1.28,66,45.83,30.73,110,77,33,69.28,47.047,22.23,71.71,45.774,25.94,23.443,5.0208,4.9097,11.58,33.49,21.37,5.94,6.244,2.545,0.1191,48.81,0.0466,41.94,33.25,39.88,27.47,36.42,8,10.26,3,4.55,1,54.17,0,0.0,0.0587,0.1374,12,15.38,8,12.12,0,0.0,1,1.52,0.0725,0.1143,Manchester United | 2020/21,Manchester United | 2020/21,Manchester United | 2020/21,Manchester United | 2020/21,Manchester United | 2020/21,Manchester United | 2020/21
5,Everton LFC,22,9,5,8,39,30,9,32,2020/21,175,126,1.59,49,28.0,23.85,140,125,15,70.5,46.154,24.35,74.28,44.267,30.01,22.733,5.68,3.8866,10.74,32.76,20.96,4.82,5.921,3.571,0.1662,39.43,0.0918,20.0,34.68,41.55,31.4,36.44,7,5.56,2,4.08,2,72.0,0,0.0,0.2001,0.0243,15,11.9,6,12.24,5,3.97,1,2.04,0.1667,0.1144,Everton LFC | 2020/21,Everton LFC | 2020/21,Everton LFC | 2020/21,Everton LFC | 2020/21,Everton LFC | 2020/21,Everton LFC | 2020/21
6,Brighton & Hove Albion WFC,22,8,3,11,21,41,−20,27,2020/21,220,96,0.0,124,56.36,33.45,161,95,66,65.27,48.711,16.56,71.17,44.029,27.14,21.526,4.35,5.7179,19.55,34.47,30.17,12.16,4.448,3.347,0.1663,44.1,0.0961,32.8,33.28,37.5,29.56,36.39,5,5.21,6,4.84,0,43.64,0,0.0,0.0882,0.0433,19,19.79,14,11.29,3,3.12,1,0.81,0.0844,0.0927,Brighton & Hove Albion WFC | 2020/21,Brighton & Hove Albion WFC | 2020/21,Brighton & Hove Albion WFC | 2020/21,Brighton & Hove Albion WFC | 2020/21,Brighton & Hove Albion WFC | 2020/21,Brighton & Hove Albion WFC | 2020/21
7,Reading WFC,22,5,9,8,25,41,−16,24,2020/21,199,128,0.78,71,35.68,26.63,158,128,30,72.97,38.231,34.74,69.84,38.025,31.82,22.046,5.0151,4.314,13.08,32.55,23.98,8.56,5.391,3.028,0.1768,44.19,0.0961,28.57,34.27,40.83,29.03,37.85,12,9.38,1,1.41,1,64.32,0,0.0,0.1778,0.0147,22,17.19,15,21.13,4,3.12,3,4.23,0.1551,0.1563,Reading WFC | 2020/21,Reading WFC | 2020/21,Reading WFC | 2020/21,Reading WFC | 2020/21,Reading WFC | 2020/21,Reading WFC | 2020/21
8,Tottenham Hotspur Women,22,5,5,12,18,41,−23,20,2020/21,209,115,0.0,94,44.98,30.32,158,115,43,62.96,42.155,20.8,69.48,49.501,19.98,21.638,4.5742,4.3322,13.5,33.19,24.63,8.44,5.0,3.17,0.1635,40.6,0.0992,23.03,33.17,41.24,29.15,37.81,6,5.22,3,3.19,0,55.02,0,0.0,0.1246,0.0544,22,19.13,14,14.89,2,1.74,1,1.06,0.1321,0.1441,Tottenham Hotspur Women | 2020/21,Tottenham Hotspur Women | 2020/21,Tottenham Hotspur Women | 2020/21,Tottenham Hotspur Women | 2020/21,Tottenham Hotspur Women | 2020/21,Tottenham Hotspur Women | 2020/21
9,West Ham United LFC,22,3,6,13,21,39,−18,15,2020/21,188,52,0.0,136,72.34,43.26,118,50,68,61.59,36.214,25.38,67.62,42.924,24.7,21.818,4.0266,7.1645,20.71,39.67,33.33,8.88,5.25,2.779,0.1648,45.5,0.0616,35.05,34.0,42.2,32.49,40.91,0,0.0,3,2.21,0,27.66,0,0.0,,0.1645,8,15.38,11,8.09,2,3.85,1,0.74,0.3183,0.1129,West Ham United LFC | 2020/21,West Ham United LFC | 2020/21,West Ham United LFC | 2020/21,West Ham United LFC | 2020/21,West Ham United LFC | 2020/21,West Ham United LFC | 2020/21
10,Aston Villa,22,3,6,13,15,47,−32,15,2020/21,250,77,2.6,173,69.2,40.04,146,76,70,64.63,45.666,18.96,62.07,42.174,19.9,20.138,3.804,6.2022,16.83,39.65,31.7,9.49,4.766,2.584,0.1362,46.53,0.0484,32.02,35.44,41.01,32.85,40.96,4,5.19,4,2.31,2,30.8,0,0.0,0.2612,0.1053,16,20.78,21,12.14,0,0.0,1,0.58,0.073,0.1005,Aston Villa | 2020/21,Aston Villa | 2020/21,Aston Villa | 2020/21,Aston Villa | 2020/21,Aston Villa | 2020/21,Aston Villa | 2020/21
