season,Pos,team,Pts,short_avg_x_prog,fllw_shrt_x_rtrn,short_agg_gains,long_avg_x_prog,fllw_long_x_rtrn,long_agg_gains
2019/20,1,Chelsea FCW,39,83.19,52.772,30.42,74.8,34.207,40.59
2019/20,2,Manchester City WFC,40,72.03,50.959,21.07,74.58,39.275,35.3
2019/20,3,Arsenal WFC,36,69.37,48.197,21.17,64.73,55.226,9.5
2019/20,4,Manchester United,23,65.4,44.98,20.42,66.15,43.215,22.94
2019/20,5,Reading WFC,21,72.39,42.423,29.97,73.2,40.351,32.85
2019/20,6,Everton LFC,19,66.76,46.79,19.97,68.64,43.094,25.55
2019/20,7,Tottenham Hotspur Women,20,70.66,45.154,25.51,69.28,40.934,28.35
2019/20,8,West Ham United LFC,16,66.82,45.416,21.4,71.57,40.333,31.24
2019/20,9,Brighton & Hove Albion WFC,13,65.25,42.287,22.96,62.8,45.835,16.96
2019/20,10,Bristol City WFC,9,64.87,32.857,32.01,68.81,43.297,25.51
2019/20,11,Birmingham City WFC,7,63.86,41.665,22.2,65.34,42.034,23.31
2019/20,12,Liverpool WFC,6,69.69,36.585,33.1,70.83,41.598,29.23
