Standard,,,,,,,,,,,,Expected,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,"xG
▼",npxG,npxG/Sh,G-xG,np:G-xG
147,Anthony Losilla,fr FRA,MF,Bochum,36,1986,30.2,2,27,8,29.6,0.89,0.26,0.07,0.25,17.2,0,0,0,1.9,1.9,0.07,0.1,0.1
148,Suat Serdar,de GER,MF,Hertha BSC,25,1997,22.5,4,23,7,30.4,1.02,0.31,0.17,0.57,19.3,0,0,0,1.9,1.9,0.08,2.1,2.1
149,Joško Gvardiol,hr CRO,DF,RB Leipzig,20,2002,24.1,1,14,4,28.6,0.58,0.17,0.07,0.25,14.2,0,0,0,1.8,1.8,0.13,-0.8,-0.8
150,Timo Hübers,de GER,DF,Köln,26,1996,28.4,3,15,7,46.7,0.53,0.25,0.2,0.43,10.9,0,0,0,1.8,1.8,0.12,1.2,1.2
151,Fredrik Jensen,fi FIN,"FW,MF",Augsburg,24,1997,10.3,2,11,3,27.3,1.07,0.29,0.18,0.67,16.6,0,0,0,1.8,1.8,0.16,0.2,0.2
152,Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,1.9,0,9,0,0,4.85,0,0,,11.1,0,0,0,1.7,1.7,0.19,-1.7,-1.7
153,Mitchel Bakker,nl NED,"DF,MF",Leverkusen,22,2000,18.4,3,17,8,47.1,0.92,0.43,0.18,0.38,18.9,0,0,0,1.7,1.7,0.1,1.3,1.3
154,Alphonso Davies,ca CAN,DF,Bayern Munich,21,2000,22.7,1,19,8,42.1,0.84,0.35,0.05,0.13,18.6,0,0,0,1.7,1.7,0.09,-0.7,-0.7
155,Michael Frey,ch SUI,FW,Schalke 04,28,1994,9.6,0,27,9,33.3,2.8,0.93,0,0,15.8,0,0,0,1.7,1.7,0.06,-1.7,-1.7
156,Jonas Hector,de GER,DF,Köln,32,1990,31.4,0,25,5,20,0.8,0.16,0,0,16.2,0,0,0,1.7,1.7,0.07,-1.7,-1.7
157,Nicolas Höfler,de GER,MF,Freiburg,32,1990,31.3,0,21,4,19,0.67,0.13,0,0,14.9,0,0,0,1.7,1.7,0.08,-1.7,-1.7
158,Rani Khedira,de GER,MF,Union Berlin,28,1994,32,2,24,3,12.5,0.75,0.09,0.08,0.67,22.1,0,0,0,1.7,1.7,0.07,0.3,0.3
159,Eric Martel,de GER,MF,Köln,20,2002,22.4,1,28,8,28.6,1.25,0.36,0.04,0.13,20.6,0,0,0,1.7,1.7,0.06,-0.7,-0.7
160,Sven Michel,de GER,"FW,MF",Union Berlin,32,1990,5.5,3,15,2,13.3,2.73,0.36,0.13,1,24.2,0,1,1,1.7,0.9,0.06,1.3,1.1
161,Mohamed Simakan,fr FRA,DF,RB Leipzig,22,2000,16.2,1,12,3,25,0.74,0.19,0.08,0.33,12.3,0,0,0,1.7,1.7,0.14,-0.7,-0.7
162,Djibril Sow,ch SUI,MF,Eint Frankfurt,25,1997,29.4,4,28,10,35.7,0.95,0.34,0.14,0.4,24.8,0,0,0,1.7,1.7,0.06,2.3,2.3
163,Nelson Weiper,de GER,"FW,DF",Mainz 05,17,2005,1.1,2,5,4,80,4.55,3.64,0.4,0.5,7.3,0,0,0,1.7,1.7,0.33,0.3,0.3
164,Dan-Axel Zagadou,fr FRA,DF,Stuttgart,23,1999,14.1,0,13,3,23.1,0.92,0.21,0,0,11.1,0,0,0,1.7,1.7,0.13,-1.7,-1.7
165,Robert Andrich,de GER,MF,Leverkusen,27,1994,26.7,2,30,9,30,1.12,0.34,0.07,0.22,21.6,1,0,0,1.6,1.6,0.05,0.4,0.4
166,Waldemar Anton,de GER,DF,Stuttgart,26,1996,32.6,1,24,5,20.8,0.74,0.15,0.04,0.2,18.3,0,0,0,1.6,1.6,0.07,-0.6,-0.6
167,Maximilian Bauer,de GER,DF,Augsburg,22,2000,20.5,0,8,0,0,0.39,0,0,,8.5,0,0,0,1.6,1.6,0.2,-1.6,-1.6
168,Emre Can,de GER,MF,Dortmund,28,1994,21.1,2,15,2,13.3,0.71,0.09,0.07,0.5,22.3,0,1,1,1.6,0.8,0.06,0.4,0.2
169,Julian Chabot,de GER,DF,Köln,24,1998,20,0,14,3,21.4,0.7,0.15,0,0,9.1,0,0,0,1.6,1.6,0.11,-1.6,-1.6
