Standard,,,,,,,,,,,,Expected,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,"xG
▼",npxG,npxG/Sh,G-xG,np:G-xG
246,Renato Sanches,pt POR,MF,Paris S-G,24,1997,8,2,14,6,42.9,1.76,0.75,0.14,0.33,17.9,0,0,0,1.1,1.1,0.08,0.9,0.9
247,Baptiste Santamaria,fr FRA,MF,Rennes,27,1995,20.1,2,19,8,42.1,0.94,0.4,0.11,0.25,23.2,0,0,0,1.1,1.1,0.06,0.9,0.9
248,Mehdi Zeffane,dz ALG,"DF,MF",Clermont Foot,30,1992,7.3,1,8,2,25,1.09,0.27,0.13,0.5,20.1,0,0,0,1.1,1.1,0.14,-0.1,-0.1
249,Youcef Atal,dz ALG,"DF,MF",Nice,26,1996,8.7,1,12,5,41.7,1.39,0.58,0.08,0.2,17.3,0,0,0,1,1,0.09,0,0
250,Cédric Avinel,gp GLP,DF,Ajaccio,35,1986,19.9,1,3,1,33.3,0.15,0.05,0.33,1,4.1,0,0,0,1,1,0.41,0,0
251,Bilal Brahimi,dz ALG,"FW,MF",Nice,22,2000,8.9,3,20,6,30,2.25,0.68,0.15,0.5,24.3,0,0,0,1,1,0.05,2,2
252,Mohamed Camara,ml MLI,MF,Monaco,22,2000,24.4,0,27,6,22.2,1.11,0.25,0,0,28.4,0,0,0,1,1,0.04,-1,-1
253,Sofiane Diop,fr FRA,MF,Monaco,22,2000,0.7,1,2,1,50,2.77,1.38,0.5,1,10.5,0,0,0,1,1,0.5,0,0
254,Souleyman Doumbia,ci CIV,"DF,FW",Angers,25,1996,19.9,0,7,2,28.6,0.35,0.1,0,0,16,0,0,0,1,1,0.14,-1,-1
255,Oumar Gonzalez,cm CMR,DF,Ajaccio,24,1998,28.6,0,11,3,27.3,0.38,0.1,0,0,11.1,0,0,0,1,1,0.09,-1,-1
256,Ismail Jakobs,sn SEN,"DF,FW",Monaco,22,1999,12.4,0,14,6,42.9,1.13,0.48,0,0,15.2,1,0,0,1,1,0.07,-1,-1
257,Nuno Mendes,pt POR,DF,Paris S-G,20,2002,17.2,1,10,7,70,0.58,0.41,0.1,0.14,13.7,0,0,0,1,1,0.1,0,0
258,Nordi Mukiele,fr FRA,DF,Paris S-G,24,1997,12.6,0,11,2,18.2,0.87,0.16,0,0,11.6,0,0,0,1,1,0.09,-1,-1
259,Salis Abdul Samed,gh GHA,MF,Lens,22,2000,32.2,1,13,4,30.8,0.4,0.12,0.08,0.25,19.1,0,0,0,0.9,0.9,0.07,0.1,0.1
260,Mickaël Barreto,fr FRA,MF,Ajaccio,31,1991,14.7,1,19,4,21.1,1.29,0.27,0.05,0.25,26.6,3,0,0,0.9,0.9,0.05,0.1,0.1
261,Juan Bernat,es ESP,"DF,MF",Paris S-G,29,1993,18.3,1,7,6,85.7,0.38,0.33,0.14,0.17,11.4,0,0,0,0.9,0.9,0.12,0.1,0.1
262,Hicham Boudaoui,dz ALG,MF,Nice,22,1999,20.8,1,21,9,42.9,1.01,0.43,0.05,0.11,23.8,0,0,0,0.9,0.9,0.04,0.1,0.1
263,Maximiliano Caufriez,be BEL,DF,Clermont Foot,25,1997,24.7,1,14,6,42.9,0.57,0.24,0.07,0.17,17.9,0,0,0,0.9,0.9,0.07,0.1,0.1
264,Issa Kaboré,bf BFA,DF,Marseille,21,2001,11.4,1,8,3,37.5,0.7,0.26,0.13,0.33,16.2,0,0,0,0.9,0.9,0.11,0.1,0.1
